fecha,ccaa,num_antigenos_positivos,num_antigenos,num_pcr_positivos,num_pcr
2020-03-21,Madrid,0,0,2071,2775
2020-03-21,Melilla,0,0,3,15
2020-03-21,Murcia,0,0,57,290
2020-03-21,Navarra,0,0,125,274
2020-03-21,País Vasco,0,0,314,760
2020-03-22,Andalucía,0,0,241,927
2020-03-22,Aragón,0,0,107,339
2020-03-22,Asturias,0,0,53,431
2020-03-22,Baleares,0,0,76,418
2020-03-22,Canarias,0,0,73,397
2020-03-22,Cantabria,0,0,78,260
2020-03-22,Castilla y Castilla y León,0,0,64,122
2020-03-22,Castilla y León,0,0,315,504
2020-03-22,Castilla-La Mancha,0,0,414,606
2020-03-22,Cataluña,0,0,923,2220
2020-03-22,Ceuta,0,0,2,10
2020-03-22,Comunitat Valenciana,0,0,270,717
2020-03-22,DESLOCALIZADOS,0,0,290,559
2020-03-22,Extremadura,0,0,98,344
2020-03-22,Galicia,0,0,160,632
2020-03-22,La Rioja,0,0,65,171
2020-03-22,Madrid,0,0,1794,2283
2020-03-22,Melilla,0,0,1,6
2020-03-22,Murcia,0,0,51,340
2020-03-22,Navarra,0,0,84,192
2020-03-22,País Vasco,0,0,298,758
2020-03-23,Andalucía,0,0,339,1082
2020-03-23,Aragón,0,0,193,556
2020-03-23,Asturias,0,0,109,673
2020-03-23,Baleares,0,0,92,437
2020-03-23,Canarias,0,0,100,462
2020-03-23,Cantabria,0,0,83,415
2020-03-23,Castilla y Castilla y León,0,0,127,255
2020-03-23,Castilla y León,0,0,417,859
2020-03-23,Castilla-La Mancha,0,0,335,540
2020-03-23,Cataluña,0,0,1378,3480
2020-03-23,Ceuta,0,0,4,16
2020-03-23,Comunitat Valenciana,0,0,497,1354
2020-03-23,DESLOCALIZADOS,0,0,453,846
2020-03-23,Extremadura,0,0,140,391
2020-03-23,Galicia,0,0,240,942
2020-03-23,La Rioja,0,0,94,265
2020-03-23,Madrid,0,0,2788,3728
2020-03-23,Melilla,0,0,2,19
2020-03-23,Murcia,0,0,48,257
2020-03-23,Navarra,0,0,170,382
2020-03-23,País Vasco,0,0,332,837
2020-03-24,Andalucía,0,0,522,1777
2020-03-24,Aragón,0,0,228,652
2020-03-24,Asturias,0,0,97,730
2020-03-24,Baleares,0,0,106,448
2020-03-24,Canarias,0,0,157,689
2020-03-24,Cantabria,0,0,171,734
2020-03-24,Castilla y Castilla y León,0,0,124,241
2020-03-24,Castilla y León,0,0,376,704
2020-03-24,Castilla-La Mancha,0,0,578,813
2020-03-24,Cataluña,0,0,1717,4191
2020-03-24,Ceuta,0,0,5,15
2020-03-24,Comunitat Valenciana,0,0,581,1681
2020-03-24,DESLOCALIZADOS,0,0,515,928
2020-03-24,Extremadura,0,0,184,540
2020-03-24,Galicia,0,0,264,986
2020-03-24,La Rioja,0,0,130,267
2020-03-24,Madrid,0,0,3361,4371
2020-03-24,Melilla,0,0,4,10
2020-03-24,Murcia,0,0,120,517
2020-03-24,Navarra,0,0,190,401
2020-03-24,País Vasco,0,0,580,1264
2020-03-25,Andalucía,0,0,504,1890
2020-03-25,Aragón,0,0,221,694
2020-03-25,Asturias,0,0,85,857
2020-03-25,Baleares,0,0,119,530
2020-03-25,Canarias,0,0,105,739
2020-03-25,Cantabria,0,0,134,613
2020-03-25,Castilla y Castilla y León,0,0,142,286
2020-03-25,Castilla y León,0,0,647,1154
2020-03-25,Castilla-La Mancha,0,0,576,854
2020-03-25,Cataluña,0,0,1639,4098
2020-03-25,Ceuta,0,0,6,17
2020-03-25,Comunitat Valenciana,0,0,596,1927
2020-03-25,DESLOCALIZADOS,0,0,527,964
2020-03-25,Extremadura,0,0,206,662
2020-03-25,Galicia,0,0,308,1043
2020-03-25,La Rioja,0,0,172,345
2020-03-25,Madrid,0,0,3401,4845
2020-03-25,Melilla,0,0,3,18
2020-03-25,Murcia,0,0,75,383
2020-03-25,Navarra,0,0,199,422
2020-03-25,País Vasco,0,0,719,1530
2020-03-26,Andalucía,0,0,514,2173
2020-03-26,Aragón,0,0,248,720
2020-03-26,Asturias,0,0,77,774
2020-03-26,Baleares,0,0,101,505
2020-03-26,Canarias,0,0,146,824
2020-03-26,Cantabria,0,0,146,673
2020-03-26,Castilla y Castilla y León,0,0,103,224
2020-03-26,Castilla y León,0,0,648,1236
2020-03-26,Castilla-La Mancha,0,0,502,785
2020-03-26,Cataluña,0,0,1824,4197
2020-03-26,Ceuta,0,0,7,28
2020-03-26,Comunitat Valenciana,0,0,651,2099
2020-03-26,DESLOCALIZADOS,0,0,533,1035
2020-03-26,Extremadura,0,0,171,581
2020-03-26,Galicia,0,0,451,1821
2020-03-26,La Rioja,0,0,260,512
2020-03-26,Madrid,0,0,3364,4516
2020-03-26,Melilla,0,0,4,26
2020-03-26,Murcia,0,0,119,745
2020-03-26,Navarra,0,0,241,547
2020-03-26,País Vasco,0,0,611,1457
2020-03-27,Andalucía,0,0,578,2862
2020-03-27,Aragón,0,0,257,778
2020-03-27,Asturias,0,0,79,576
2020-03-27,Baleares,0,0,146,605
2020-03-27,Canarias,0,0,98,766
2020-03-27,Cantabria,0,0,102,667
2020-03-27,Castilla y Castilla y León,0,0,107,209
2020-03-27,Castilla y León,0,0,702,1397
2020-03-27,Castilla-La Mancha,0,0,798,1253
2020-03-27,Cataluña,0,0,1697,4330
2020-03-27,Ceuta,0,0,5,30
2020-03-27,Comunitat Valenciana,0,0,806,2475
2020-03-27,DESLOCALIZADOS,0,0,481,1005
2020-03-27,Extremadura,0,0,98,452
2020-03-27,Galicia,0,0,480,2025
2020-03-27,La Rioja,0,0,139,314
2020-03-27,Madrid,0,0,2490,3734
2020-03-27,Melilla,0,0,3,20
2020-03-27,Murcia,0,0,93,610
2020-03-27,Navarra,0,0,178,413
2020-03-27,País Vasco,0,0,502,1344
2020-03-28,Andalucía,0,0,504,2290
2020-03-28,Aragón,0,0,160,422
2020-03-28,Asturias,0,0,118,574
2020-03-28,Baleares,0,0,89,477
2020-03-28,Canarias,0,0,93,759
2020-03-28,Cantabria,0,0,69,376
2020-03-28,Castilla y Castilla y León,0,0,58,130
2020-03-28,Castilla y León,0,0,470,1022
2020-03-28,Castilla-La Mancha,0,0,660,1048
2020-03-28,Cataluña,0,0,1558,3765
2020-03-28,Ceuta,0,0,7,14
2020-03-28,Comunitat Valenciana,0,0,633,2040
2020-03-28,DESLOCALIZADOS,0,0,458,837
2020-03-28,Extremadura,0,0,68,230
2020-03-28,Galicia,0,0,343,1408
2020-03-28,La Rioja,0,0,219,492
2020-03-28,Madrid,0,0,1428,2329
2020-03-28,Melilla,0,0,4,8
2020-03-28,Murcia,0,0,67,461
2020-03-28,Navarra,0,0,152,327
2020-03-28,País Vasco,0,0,581,1473
2020-03-29,Andalucía,0,0,292,1211
2020-03-29,Aragón,0,0,164,359
2020-03-29,Asturias,0,0,67,679
2020-03-29,Baleares,0,0,69,531
2020-03-29,Canarias,0,0,99,736
2020-03-29,Cantabria,0,0,48,211
2020-03-29,Castilla y Castilla y León,0,0,86,200
2020-03-29,Castilla y León,0,0,328,751
2020-03-29,Castilla-La Mancha,0,0,572,1002
2020-03-29,Cataluña,0,0,1272,2996
2020-03-29,Ceuta,0,0,1,4
2020-03-29,Comunitat Valenciana,0,0,375,1135
2020-03-29,DESLOCALIZADOS,0,0,393,800
2020-03-29,Extremadura,0,0,54,145
2020-03-29,Galicia,0,0,500,1491
2020-03-29,La Rioja,0,0,91,321
2020-03-29,Madrid,0,0,974,1392
2020-03-29,Melilla,0,0,6,22
2020-03-29,Murcia,0,0,55,401
2020-03-29,Navarra,0,0,166,404
2020-03-29,País Vasco,0,0,261,775
2020-03-30,Andalucía,0,0,373,1847
2020-03-30,Aragón,0,0,277,789
2020-03-30,Asturias,0,0,90,671
2020-03-30,Baleares,0,0,74,513
2020-03-30,Canarias,0,0,100,638
2020-03-30,Cantabria,0,0,75,563
2020-03-30,Castilla y Castilla y León,0,0,95,238
2020-03-30,Castilla y León,0,0,362,902
2020-03-30,Castilla-La Mancha,0,0,538,979
2020-03-30,Cataluña,0,0,1819,5092
2020-03-30,Ceuta,0,0,9,22
2020-03-30,Comunitat Valenciana,0,0,622,2153
2020-03-30,DESLOCALIZADOS,0,0,446,919
2020-03-30,Extremadura,0,0,78,287
2020-03-30,Galicia,0,0,334,1458
2020-03-30,La Rioja,0,0,124,297
2020-03-30,Madrid,0,0,2272,3476
2020-03-30,Melilla,0,0,2,24
2020-03-30,Murcia,0,0,52,310
2020-03-30,Navarra,0,0,196,486
2020-03-30,País Vasco,0,0,361,1122
2020-03-31,Andalucía,0,0,466,2538
2020-03-31,Aragón,0,0,209,665
2020-03-31,Asturias,0,0,85,849
2020-03-31,Baleares,0,0,67,454
2020-03-31,Canarias,0,0,98,813
2020-03-31,Cantabria,0,0,68,692
2020-03-31,Castilla y Castilla y León,0,0,190,411
2020-03-31,Castilla y León,0,0,429,1094
2020-03-31,Castilla-La Mancha,0,0,587,981
2020-03-31,Cataluña,0,0,1702,4862
2020-03-31,Ceuta,0,0,11,35
2020-03-31,Comunitat Valenciana,0,0,584,2516
2020-03-31,DESLOCALIZADOS,0,0,406,932
2020-03-31,Extremadura,0,0,108,303
2020-03-31,Galicia,0,0,414,1758
2020-03-31,La Rioja,0,0,245,515
2020-03-31,Madrid,0,0,2001,3420
2020-03-31,Melilla,0,0,15,31
2020-03-31,Murcia,0,0,72,567
2020-03-31,Navarra,0,0,214,510
2020-03-31,País Vasco,0,0,597,1606
2020-04-01,Andalucía,0,0,465,2355
2020-04-01,Aragón,0,0,165,645
2020-04-01,Asturias,0,0,79,920
2020-04-01,Baleares,0,0,92,700
2020-04-01,Canarias,0,0,94,840
2020-04-01,Cantabria,0,0,53,606
2020-04-01,Castilla y Castilla y León,0,0,110,287
2020-04-01,Castilla y León,0,0,534,1419
2020-04-01,Castilla-La Mancha,0,0,824,1510
2020-04-01,Cataluña,0,0,1492,4767
2020-04-01,Ceuta,0,0,3,43
2020-04-01,Comunitat Valenciana,0,0,545,2475
2020-04-01,DESLOCALIZADOS,0,0,383,980
2020-04-01,Extremadura,0,0,89,286
2020-04-01,Galicia,0,0,332,2064
2020-04-01,La Rioja,0,0,97,339
2020-04-01,Madrid,0,0,1607,2887
2020-04-01,Melilla,0,0,5,27
2020-04-01,Murcia,0,0,43,549
2020-04-01,Navarra,0,0,189,429
2020-04-01,País Vasco,0,0,534,1543
2020-04-02,Andalucía,0,0,499,2543
2020-04-02,Aragón,0,0,173,753
2020-04-02,Asturias,0,0,91,972
2020-04-02,Baleares,0,0,130,1171
2020-04-02,Canarias,0,0,86,907
2020-04-02,Cantabria,0,0,79,653
2020-04-02,Castilla y Castilla y León,0,0,98,242
2020-04-02,Castilla y León,0,0,492,1353
2020-04-02,Castilla-La Mancha,0,0,446,914
2020-04-02,Cataluña,0,0,1545,4931
2020-04-02,Ceuta,0,0,8,29
2020-04-02,Comunitat Valenciana,0,0,496,2304
2020-04-02,DESLOCALIZADOS,0,0,346,880
2020-04-02,Extremadura,0,0,82,340
2020-04-02,Galicia,0,0,404,2008
2020-04-02,La Rioja,0,0,189,453
2020-04-02,Madrid,0,0,2075,3976
2020-04-02,Melilla,0,0,2,15
2020-04-02,Murcia,0,0,83,582
2020-04-02,Navarra,0,0,176,472
2020-04-02,País Vasco,0,0,512,1679
2020-04-03,Andalucía,0,0,367,2373
2020-04-03,Aragón,0,0,206,785
2020-04-03,Asturias,0,0,95,1159
2020-04-03,Baleares,0,0,92,1039
2020-04-03,Canarias,0,0,66,825
2020-04-03,Cantabria,0,0,79,656
2020-04-03,Castilla y Castilla y León,0,0,103,314
2020-04-03,Castilla y León,0,0,405,1261
2020-04-03,Castilla-La Mancha,0,0,414,909
2020-04-03,Cataluña,0,0,1665,5403
2020-04-03,Ceuta,0,0,3,25
2020-04-03,Comunitat Valenciana,0,0,460,2182
2020-04-03,DESLOCALIZADOS,0,0,327,883
2020-04-03,Extremadura,0,0,110,488
2020-04-03,Galicia,0,0,329,2312
2020-04-03,La Rioja,0,0,234,463
2020-04-03,Madrid,0,0,1977,4003
2020-04-03,Melilla,0,0,4,23
2020-04-03,Murcia,0,0,53,486
2020-04-03,Navarra,0,0,147,499
2020-04-03,País Vasco,0,0,468,1495
2020-04-04,Andalucía,0,0,348,1919
2020-04-04,Aragón,0,0,119,467
2020-04-04,Asturias,0,0,68,1033
2020-04-04,Baleares,0,0,79,624
2020-04-04,Canarias,0,0,48,800
2020-04-04,Cantabria,0,0,33,242
2020-04-04,Castilla y Castilla y León,0,0,77,267
2020-04-04,Castilla y León,0,0,458,1287
2020-04-04,Castilla-La Mancha,0,0,198,518
2020-04-04,Cataluña,0,0,1011,3205
2020-04-04,Ceuta,0,0,1,36
2020-04-04,Comunitat Valenciana,0,0,242,1563
2020-04-04,DESLOCALIZADOS,0,0,224,658
2020-04-04,Extremadura,0,0,22,106
2020-04-04,Galicia,0,0,271,2097
2020-04-04,La Rioja,0,0,143,527
2020-04-04,Madrid,0,0,1129,2386
2020-04-04,Melilla,0,0,9,24
2020-04-04,Murcia,0,0,61,523
2020-04-04,Navarra,0,0,116,387
2020-04-04,País Vasco,0,0,338,1263
2020-04-05,Andalucía,0,0,140,1108
2020-04-05,Aragón,0,0,98,321
2020-04-05,Asturias,0,0,72,909
2020-04-05,Baleares,0,0,61,602
2020-04-05,Canarias,0,0,56,630
2020-04-05,Cantabria,0,0,30,216
2020-04-05,Castilla y Castilla y León,0,0,54,155
2020-04-05,Castilla y León,0,0,380,964
2020-04-05,Castilla-La Mancha,0,0,195,496
2020-04-05,Cataluña,0,0,747,2182
2020-04-05,Ceuta,0,0,0,1
2020-04-05,Comunitat Valenciana,0,0,219,1184
2020-04-05,DESLOCALIZADOS,0,0,187,476
2020-04-05,Extremadura,0,0,25,119
2020-04-05,Galicia,0,0,222,1839
2020-04-05,La Rioja,0,0,123,362
2020-04-05,Madrid,0,0,628,1318
2020-04-05,Melilla,0,0,2,6
2020-04-05,Murcia,0,0,23,236
2020-04-05,Navarra,0,0,183,405
2020-04-05,País Vasco,0,0,225,736
2020-04-06,Andalucía,0,0,245,1838
2020-04-06,Aragón,0,0,175,785
2020-04-06,Asturias,0,0,37,653
2020-04-06,Baleares,0,0,61,504
2020-04-06,Canarias,0,0,64,779
2020-04-06,Cantabria,0,0,106,631
2020-04-06,Castilla y Castilla y León,0,0,106,330
2020-04-06,Castilla y León,0,0,376,1333
2020-04-06,Castilla-La Mancha,0,0,276,731
2020-04-06,Cataluña,0,0,1406,4304
2020-04-06,Ceuta,0,0,4,34
2020-04-06,Comunitat Valenciana,0,0,314,1646
2020-04-06,DESLOCALIZADOS,0,0,251,684
2020-04-06,Extremadura,0,0,117,433
2020-04-06,Galicia,0,0,203,1963
2020-04-06,La Rioja,0,0,138,519
2020-04-06,Madrid,0,0,1666,3439
2020-04-06,Melilla,0,0,3,29
2020-04-06,Murcia,0,0,50,307
2020-04-06,Navarra,0,0,131,361
2020-04-06,País Vasco,0,0,270,1036
2020-04-07,Andalucía,0,0,365,2379
2020-04-07,Aragón,0,0,153,707
2020-04-07,Asturias,0,0,38,897
2020-04-07,Baleares,0,0,95,817
2020-04-07,Canarias,0,0,100,860
2020-04-07,Cantabria,0,0,62,594
2020-04-07,Castilla y Castilla y León,0,0,45,238
2020-04-07,Castilla y León,0,0,393,1455
2020-04-07,Castilla-La Mancha,0,0,208,615
2020-04-07,Cataluña,0,0,1419,5098
2020-04-07,Ceuta,0,0,1,30
2020-04-07,Comunitat Valenciana,0,0,346,2062
2020-04-07,DESLOCALIZADOS,0,0,225,694
2020-04-07,Extremadura,0,0,95,394
2020-04-07,Galicia,0,0,262,2041
2020-04-07,La Rioja,0,0,146,351
2020-04-07,Madrid,0,0,1463,3611
2020-04-07,Melilla,0,0,7,22
2020-04-07,Murcia,0,0,53,484
2020-04-07,Navarra,0,0,250,670
2020-04-07,País Vasco,0,0,476,1852
2020-04-08,Andalucía,0,0,373,2497
2020-04-08,Aragón,0,0,185,813
2020-04-08,Asturias,0,0,68,1190
2020-04-08,Baleares,0,0,105,709
2020-04-08,Canarias,0,0,62,873
2020-04-08,Cantabria,0,0,50,606
2020-04-08,Castilla y Castilla y León,0,0,111,300
2020-04-08,Castilla y León,0,0,570,1890
2020-04-08,Castilla-La Mancha,0,0,222,689
2020-04-08,Cataluña,0,0,1456,5524
2020-04-08,Ceuta,0,0,2,30
2020-04-08,Comunitat Valenciana,0,0,453,2527
2020-04-08,DESLOCALIZADOS,0,0,219,741
2020-04-08,Extremadura,0,0,93,394
2020-04-08,Galicia,0,0,277,2541
2020-04-08,La Rioja,0,0,99,328
2020-04-08,Madrid,0,0,1383,3709
2020-04-08,Melilla,0,0,3,17
2020-04-08,Murcia,0,0,34,427
2020-04-08,Navarra,0,0,158,536
2020-04-08,País Vasco,0,0,369,1806
2020-04-09,Andalucía,0,0,257,2229
2020-04-09,Aragón,0,0,178,592
2020-04-09,Asturias,0,0,60,1045
2020-04-09,Baleares,0,0,93,833
2020-04-09,Canarias,0,0,45,733
2020-04-09,Cantabria,0,0,69,457
2020-04-09,Castilla y Castilla y León,0,0,97,318
2020-04-09,Castilla y León,0,0,519,2041
2020-04-09,Castilla-La Mancha,0,0,190,594
2020-04-09,Cataluña,0,0,1509,5857
2020-04-09,Ceuta,0,0,0,7
2020-04-09,Comunitat Valenciana,0,0,760,3958
2020-04-09,DESLOCALIZADOS,0,0,224,776
2020-04-09,Extremadura,0,0,55,239
2020-04-09,Galicia,0,0,249,2396
2020-04-09,La Rioja,0,0,117,562
2020-04-09,Madrid,0,0,1058,3143
2020-04-09,Melilla,0,0,4,17
2020-04-09,Murcia,0,0,66,493
2020-04-09,Navarra,0,0,147,452
2020-04-09,País Vasco,0,0,321,1709
2020-04-10,Andalucía,0,0,175,1549
2020-04-10,Aragón,0,0,151,555
2020-04-10,Asturias,0,0,52,693
2020-04-10,Baleares,0,0,87,502
2020-04-10,Canarias,0,0,64,862
2020-04-10,Cantabria,0,0,57,380
2020-04-10,Castilla y Castilla y León,0,0,58,244
2020-04-10,Castilla y León,0,0,660,2002
2020-04-10,Castilla-La Mancha,0,0,230,843
2020-04-10,Cataluña,0,0,1119,4427
2020-04-10,Ceuta,0,0,0,9
2020-04-10,Comunitat Valenciana,0,0,245,1861
2020-04-10,DESLOCALIZADOS,0,0,197,624
2020-04-10,Extremadura,0,0,25,150
2020-04-10,Galicia,0,0,252,2411
2020-04-10,La Rioja,0,0,130,540
2020-04-10,Madrid,0,0,999,2899
2020-04-10,Melilla,0,0,3,27
2020-04-10,Murcia,0,0,17,352
2020-04-10,Navarra,0,0,159,471
2020-04-10,País Vasco,0,0,342,1468
2020-04-11,Andalucía,0,0,114,988
2020-04-11,Aragón,0,0,101,339
2020-04-11,Asturias,0,0,96,724
2020-04-11,Baleares,0,0,51,584
2020-04-11,Canarias,0,0,68,590
2020-04-11,Cantabria,0,0,25,278
2020-04-11,Castilla y Castilla y León,0,0,66,212
2020-04-11,Castilla y León,0,0,279,1377
2020-04-11,Castilla-La Mancha,0,0,135,650
2020-04-11,Cataluña,0,0,959,3681
2020-04-11,Ceuta,0,0,2,13
2020-04-11,Comunitat Valenciana,0,0,189,1498
2020-04-11,DESLOCALIZADOS,0,0,176,564
2020-04-11,Extremadura,0,0,25,143
2020-04-11,Galicia,0,0,197,1851
2020-04-11,La Rioja,0,0,110,386
2020-04-11,Madrid,0,0,644,1772
2020-04-11,Melilla,0,0,3,62
2020-04-11,Murcia,0,0,24,251
2020-04-11,Navarra,0,0,106,309
2020-04-11,País Vasco,0,0,158,996
2020-04-12,Andalucía,0,0,120,816
2020-04-12,Aragón,0,0,72,349
2020-04-12,Asturias,0,0,68,765
2020-04-12,Baleares,0,0,23,323
2020-04-12,Canarias,0,0,22,535
2020-04-12,Cantabria,0,0,22,248
2020-04-12,Castilla y Castilla y León,0,0,52,216
2020-04-12,Castilla y León,0,0,388,1316
2020-04-12,Castilla-La Mancha,0,0,112,529
2020-04-12,Cataluña,0,0,634,2570
2020-04-12,Ceuta,0,0,0,5
2020-04-12,Comunitat Valenciana,0,0,134,1154
2020-04-12,DESLOCALIZADOS,0,0,112,433
2020-04-12,Extremadura,0,0,17,108
2020-04-12,Galicia,0,0,174,2471
2020-04-12,La Rioja,0,0,172,689
2020-04-12,Madrid,0,0,483,1313
2020-04-12,Melilla,0,0,1,27
2020-04-12,Murcia,0,0,13,246
2020-04-12,Navarra,0,0,149,457
2020-04-12,País Vasco,0,0,180,1292
2020-04-13,Andalucía,0,0,207,1307
2020-04-13,Aragón,0,0,150,751
2020-04-13,Asturias,0,0,43,605
2020-04-13,Baleares,0,0,46,754
2020-04-13,Canarias,0,0,56,705
2020-04-13,Cantabria,0,0,49,349
2020-04-13,Castilla y Castilla y León,0,0,37,192
2020-04-13,Castilla y León,0,0,446,2121
2020-04-13,Castilla-La Mancha,0,0,114,611
2020-04-13,Cataluña,0,0,775,3534
2020-04-13,Ceuta,0,0,10,24
2020-04-13,Comunitat Valenciana,0,0,219,1441
2020-04-13,DESLOCALIZADOS,0,0,112,480
2020-04-13,Extremadura,0,0,81,353
2020-04-13,Galicia,0,0,131,1938
2020-04-13,La Rioja,0,0,73,392
2020-04-13,Madrid,0,0,972,3317
2020-04-13,Melilla,0,0,2,24
2020-04-13,Murcia,0,0,31,295
2020-04-13,Navarra,0,0,86,338
2020-04-13,País Vasco,0,0,207,1348
2020-04-14,Andalucía,0,0,280,2233
2020-04-14,Aragón,0,0,113,574
